Comment Date,Comment
"Nov 4, 2013, 1:46:08 PM","Hi, actually it's hard to say because of the size depends on the brand and model. In general I am size of Large (Pearl Izumi). I am 187 cm and 85 kg.
."
"Nov 4, 2013, 2:47:44 PM","Thanks, I have couple of Pearl Izumi Attack Jersey 
http://www.pearlizumi.co.uk/sizing
My size is middle of L and XL, what do you think (too large is better than too small)?  What do you estimate for the price?"
"Nov 4, 2013, 2:51:36 PM","Is it too blowing (Churriana) right now for cycling (dangerous)? I will go to try, no speed limit ;)"
"Nov 4, 2013, 9:05:21 PM","You are right, XLmay be better for me, the price sounds good.
I haven't ride to the east of Malaga, but I would like to, from Churrianna it's too long road for me. Last year I was visiting here too, I made a trip to Rincón de la Victoria,I didn't like much go through the Malaga, too much traffic.

Dou you have MTB-bikes too? I have only MTB 26.x 2.2, where the ""name"" 22x28 comes?. 
May be next year I will come back (now I will stay 15.12, then I fly back to Finland) I will do the longer trips with few rests. Usually (almost every time) I don't stop at all when riding. 
Hasta luego..."
"Nov 5, 2013, 10:04:04 AM","Hi and thanks,
Actually I have never heard about 28"" mountain bike, ok I'm newbie, 1st MTB bought 2009
Nowadays as you know there is 26, 27, 29.
Previously, I was't enthusiastic about  the 29"" bikes, but now I'm a little bit more, possibly the  the next one is 29"".
I'm not sure I know the routes the Montes of Malaga, could you explain/inform the routes?
Last autum I did the following
http://www.strava.com/activities/27791743
Please inform when you do a route to Montes, before that I need more training/practices and ""testing"" the route ;)
The main reason of joining a club is to get some new routes. The main problem for the new routes is my location (Churriana) and capability not for the long trips."
"Nov 5, 2013, 1:39:14 PM","As I told I'm newbie ;)
I have front 44/34/22 and rear 11-12-14-16-18-21-24-28-32, so I have 22 x 28 ;)
Right now my gears are not perfect, Eurobike Churrinan has checked them couple of times, I think I should change the rear derailleur, it has about 14000km. Crankset , casette and chain has 5500km. Is it good to change chain too? Someone has told that crankset , casette and chain should change at the same time, what do you say?.

I have Continental Race King 2.2 for cr.
The route seems to be very challenging, is the possibility to go wrong way (get lost)?
It's possible that it will be my goal one day. I was planning that A7000 would be a main goal.
But as I told I would like to find nad try new routes and experiences."
"Nov 5, 2013, 8:16:08 PM",Fighting against the wind
"Nov 5, 2013, 8:47:12 PM","Transmission is ok, 3000-5000km more. the rear derailleur is not very bad but I would like that every gear change will succeed, now there is missing changes. As I told Eurobike did maintenance twice cleaning and adjusting, but it not worked much.Second time I gave them new rear derailleur hanger, it helped a little bit, so the reasin must be  the derailleur, which is old and lazy and not working exact.when is needed ;)
Race King is pretty good and X-King too (which I have in Finland). I have done few times Almogia route. By the El Nunes I can't recommend. Thanks your time and Saludo ;)"
"Nov 6, 2013, 7:10:53 PM",Muchas gracias
"Nov 8, 2013, 9:01:43 PM","Walking with the bike back to the starting point  (approx. 9.5 km), bueno ;)"
"Nov 23, 2013, 6:01:05 PM","Thanks for the reply, yes it has to be a mistake, I will check this route one day. Have a nice weekend."
