Reaction Date,Reaction Type,Parent Type,Parent ID
"Nov 12, 2013, 10:20:25 PM",Kudos,Activity,94470463
"Nov 12, 2013, 10:21:16 PM",Kudos,Activity,90624293
"Nov 18, 2013, 8:12:37 PM",Kudos,Activity,95675926
"Nov 23, 2013, 12:40:00 AM",Kudos,Activity,95634202
"Nov 30, 2013, 5:14:55 PM",Kudos,Activity,97856448
"Dec 1, 2013, 5:31:26 PM",Kudos,Activity,98065376
"Dec 12, 2013, 10:32:07 PM",Kudos,Activity,99410351
"Dec 12, 2013, 10:32:49 PM",Kudos,Activity,99292361
"Dec 12, 2013, 10:33:06 PM",Kudos,Activity,99292384
"Dec 12, 2013, 10:33:16 PM",Kudos,Activity,99410394
"Dec 14, 2013, 6:29:25 PM",Kudos,Activity,100156655
"Dec 17, 2013, 7:49:25 PM",Kudos,Activity,100368581
"Dec 21, 2013, 4:54:59 PM",Kudos,Activity,101213506
"Dec 28, 2013, 5:12:27 PM",Kudos,Activity,102176160
"Jan 6, 2014, 3:23:56 AM",Kudos,Activity,104008401
"Jan 6, 2014, 3:23:59 AM",Kudos,Activity,104144243
"Jan 13, 2014, 3:59:00 AM",Kudos,Feed Entry,3386316
"Jan 13, 2014, 3:59:04 AM",Kudos,Feed Entry,3382624
"Jan 14, 2014, 4:14:33 PM",Kudos,Activity,105911427
"Jan 14, 2014, 4:14:35 PM",Kudos,Activity,105857861
"Jan 16, 2014, 5:34:08 PM",Kudos,Activity,106565333
"Jan 18, 2014, 6:19:01 PM",Kudos,Feed Entry,3456967
"Jan 23, 2014, 11:28:23 PM",Kudos,Activity,108446292
"Jan 24, 2014, 8:50:05 PM",Kudos,Feed Entry,3526697
"Jan 25, 2014, 5:06:38 PM",Kudos,Activity,108832858
"Jan 26, 2014, 3:22:38 PM",Kudos,Activity,109081039
"Jan 31, 2014, 3:46:00 PM",Kudos,Activity,110122503
"Feb 2, 2014, 5:48:12 PM",Kudos,Activity,110670158
"Feb 2, 2014, 6:47:46 PM",Kudos,Activity,110721566
"Feb 9, 2014, 3:34:17 PM",Kudos,Activity,111952755
"Feb 9, 2014, 3:34:43 PM",Kudos,Activity,112115747
"Feb 9, 2014, 7:46:05 PM",Kudos,Activity,112203823
"Feb 11, 2014, 8:49:43 PM",Kudos,Feed Entry,3771950
"Feb 17, 2014, 2:49:00 AM",Kudos,Activity,113770190
"Feb 17, 2014, 2:49:10 AM",Kudos,Activity,113770240
"Feb 19, 2014, 6:52:12 PM",Kudos,Activity,114193884
"Feb 27, 2014, 9:01:10 AM",Kudos,Activity,115541692
"Feb 28, 2014, 3:29:37 PM",Kudos,Activity,116698179
"Mar 2, 2014, 3:34:14 PM",Kudos,Activity,117215152
"Mar 2, 2014, 3:43:08 PM",Kudos,Activity,117234754
"Mar 8, 2014, 3:57:48 PM",Kudos,Activity,118702495
"Mar 11, 2014, 2:52:54 PM",Kudos,Activity,118976866
"Mar 11, 2014, 2:53:01 PM",Kudos,Activity,119168673
"Mar 11, 2014, 2:53:49 PM",Kudos,Activity,119168756
"Mar 11, 2014, 2:53:55 PM",Kudos,Activity,118721397
"Mar 16, 2014, 3:31:21 PM",Kudos,Activity,121140245
"Mar 16, 2014, 3:31:26 PM",Kudos,Activity,120873323
"Mar 16, 2014, 7:44:15 PM",Kudos,Activity,121226781
"Mar 18, 2014, 2:36:06 PM",Kudos,Activity,121571251
"Mar 19, 2014, 4:55:21 PM",Kudos,Activity,121817395
"Mar 22, 2014, 6:19:08 PM",Kudos,Activity,122894064
"Mar 22, 2014, 6:23:39 PM",Kudos,Activity,122876395
"Mar 23, 2014, 6:25:49 PM",Kudos,Activity,123199105
"Mar 23, 2014, 6:26:23 PM",Kudos,Activity,123344096
"Mar 24, 2014, 5:53:18 PM",Kudos,Activity,123368839
"Mar 25, 2014, 5:42:41 PM",Kudos,Activity,123642427
"Mar 25, 2014, 5:43:09 PM",Kudos,Activity,123642429
"Apr 6, 2014, 3:39:05 PM",Kudos,Activity,127057863
"Apr 6, 2014, 3:39:05 PM",Kudos,Activity,127232212
"Apr 6, 2014, 8:25:05 PM",Kudos,Activity,127569984
"Apr 7, 2014, 8:34:26 AM",Kudos,Activity,127570012
"Apr 8, 2014, 2:48:06 PM",Kudos,Activity,127911259
"Apr 8, 2014, 8:24:59 PM",Kudos,Activity,128214391
"Apr 13, 2014, 4:41:00 PM",Kudos,Activity,128888997
"Apr 13, 2014, 4:41:03 PM",Kudos,Activity,128856173
"Apr 13, 2014, 4:41:07 PM",Kudos,Activity,128888932
"Apr 13, 2014, 4:41:12 PM",Kudos,Activity,128884323
"Apr 13, 2014, 4:41:33 PM",Kudos,Activity,129451135
"Apr 13, 2014, 4:41:47 PM",Kudos,Activity,129753078
"Apr 13, 2014, 4:42:04 PM",Kudos,Activity,129824662
"Apr 14, 2014, 5:48:32 PM",Kudos,Activity,130171447
"Apr 22, 2014, 5:50:16 PM",Kudos,Activity,132235726
"Apr 22, 2014, 5:50:32 PM",Kudos,Feed Entry,4958468
"Apr 22, 2014, 5:50:36 PM",Kudos,Activity,132174675
"Apr 22, 2014, 5:51:07 PM",Kudos,Activity,131441524
"Apr 22, 2014, 5:51:18 PM",Kudos,Activity,131500140
"Apr 22, 2014, 5:51:25 PM",Kudos,Activity,132234638
"Apr 22, 2014, 5:51:31 PM",Kudos,Activity,131756382
"Apr 22, 2014, 5:51:34 PM",Kudos,Activity,131820701
"Apr 23, 2014, 7:42:55 PM",Kudos,Activity,133072618
"Apr 23, 2014, 7:42:58 PM",Kudos,Activity,133051144
"Apr 23, 2014, 9:17:15 PM",Kudos,Feed Entry,5030648
"Apr 25, 2014, 10:37:53 AM",Kudos,Activity,133766065
"Apr 26, 2014, 3:00:08 PM",Kudos,Activity,134330580
"Apr 26, 2014, 3:30:09 PM",Kudos,Feed Entry,5151944
"Apr 29, 2014, 5:09:15 PM",Kudos,Activity,135161811
"Apr 29, 2014, 5:09:19 PM",Kudos,Activity,135403459
"Apr 29, 2014, 5:09:36 PM",Kudos,Activity,135403462
"Apr 29, 2014, 5:34:59 PM",Kudos,Activity,135502696
"Apr 30, 2014, 1:36:21 PM",Kudos,Activity,135536412
"Apr 30, 2014, 1:37:04 PM",Kudos,Activity,135594575
"May 6, 2014, 2:43:28 PM",Kudos,Activity,136920379
"May 6, 2014, 2:43:29 PM",Kudos,Activity,137302142
"May 6, 2014, 2:43:35 PM",Kudos,Activity,137024894
"May 6, 2014, 2:43:45 PM",Kudos,Activity,137138123
"May 6, 2014, 2:43:57 PM",Kudos,Activity,137207983
